LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
E,1,E4616,-15,S,10.0,E,Africa,Angola,extending fm Cameroun to Angola and south,Lower,Cretaceous,,,Evaporite,,,De Ruiter(1979),,
E,2,E4616.1,-5,S,12.0,E,Africa,Angola,"1.Mocamedes,2. Lower Congo Basins",Lower,Cretaceous,"(1,2)Necomian,(2)Aptian",,Evaporite,,,Coward et al.(2000),Harris(2000) cites the Aptian Loeme Evaporite,
E,3,E4616.2,-2,S,8.0,E,Africa,Angola,Gabon Basin,Lower,Cretaceous,Aptian,,Evaporite,,,Coward et al.(2000),,
E,4,E4616.3,4,N,8.0,E,Africa,Angola,Douala Basin,Lower,Cretaceous,Aptian,,Evaporite,,,Coward et al.(2000),,
E,5,E4616.4,12,N,13.0,E,Africa,Angola,Kwanza Basin,Lower,Cretaceous,Apt.-Turonian,,Evaporite,,"also ,Quissonde Evaporite","Katz, Mello(2000)",,
E,6,E4617,3,N,10.0,E,Africa,Cameroon,coastal from Cameroun south ,Lower,Cretaceous,,,Evaporite,,,De Ruiter(1979),,
E,7,E4618,-5,S,11.0,E,Africa,Congo,"coastal from Cameroun to Angola,Gabon",Lower,Cretaceous,,,Evaporite,,,De Ruiter(1979),,
E,8,E4628,0,N,22.0,E,Africa,D. Rep of Congo,Equateur and Kasai Provinces,Lower,Cretaceous,,or U. Jurassic,Evaporite,,Analcime bearing,"Vanderstappen,Verbeek(1959)",,
E,9,E4619,5,N,42.0,E,Africa,Ethiopia,Ogaden region,Lower,Cretaceous,,,Gypsum,Main Gypsum,,Barnes(1976),Merla et al.(1979) cites the Ferfer Gypsum,
E,10,E4620,-1,S,9.0,E,Africa,Gabon,"coastal fr Cameroun to Angola, incl Gabon",Lower,Cretaceous,,,Evaporite,,Halite (also points south),De Ruiter(1979),,
E,11,E4621,32,N,-10.0,W,Africa,Morocco,Essaouira - Souss Basin,Lower,Cretaceous,Berriasian,,Evaporite,,,"Ziegler(1988),PL 28",,
E,12,E4621.1,-20.45,S,14.0,E,Africa,Namibia,,Lower,Cretaceous,,L. Jurassic,Sandstone,Etjo Sandstone,Eolian SS,Mountney et al.(1998),,
E,13,E4622,17,N,8.0,E,Africa,Niger,gres d'Agades,Lower,Cretaceous,,,Evaporite,,Analcime bearing Wealden (Continental Intercalaire),"Joulia et al.(1958,1959) ","see also Greigert,(1966)",
E,14,E4624,4,N,6.0,E,Africa,Nigeria,Niger Delta,Lower,Cretaceous,Aptian,,Evaporite,,Borhole,Peters and Reijers (1987),,
E,15,E4625,3,N,44.0,E,Africa,Somalia,south- central Somalia,Lower,Cretaceous,,,Gypsum?,,,Barnes(1976),,
E,16,E4626,5,N,44.0,E,Africa,Somalia,,Lower,Cretaceous,,,Gypsum,Main Gypsum,,Russo et al.(1991)
E,17,E4627.1,32.5,N,10.0,E,Africa,Tunisia,southern,Lower,Cretaceous,,,Evaporite,Gargasian Evaporite,,Abdallah(1989)
E,18,E4629,24,N,10.0,E,Asia,Arabia,Trucial Coast,Lower,Cretaceous,,,Evaporite,,,Banner and Wood(1964)
E,19,E4630,41,N,108.0,E,Asia,North China,Wulate Banner,Lower,Cretaceous,,,Gypsum,Guyang Group,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978)
E,20,E4632,43,N,129.5,E,Asia,North China,Yanji,Lower,Cretaceous,,,Gypsum,Longjing,,Compiling Grp of the Regional Stratagraphic Chart of Jilin(1978)
E,21,E4633,23,N,111.5,E,Asia,South China,Luoding,Lower,Cretaceous,,,Gypsum,,karst gypsum ore,Compiling Grp of the Regional Stratagraphic Chart of central-South China(1974)
E,22,E4634,22.5,N,110.0,E,Asia,South China,Bobai-Yulin,Lower,Cretaceous,,,Gypsum,Luoding Group,,Compiling Grp of the Regional Stratagraphic Chart of south-Central China(1974)
E,23,E4635,22.5,N,109.5,E,Asia,South China,Lingshan,Lower,Cretaceous,,,Gypsum,Luoding Group,,Compiling Grp of the Regional Stratagraphic Chart of south-Central China(1974)
E,24,E4636,31,N,117.0,E,Asia,South China,Zhongyang,Lower,Cretaceous,,,Gypsum,Yangwan,gypsiferous siltstone,Wu Qi-qie(1989)
E,25,E4637,23,N,119.0,E,Asia,South China,Jurong,Lower,Cretaceous,,,Gypsum,Gecun,gypsiferous siltstone,Wu Qi-qie(1989)
E,26,E4638,30,N,118.0,E,Asia,South China,Xuening,Lower,Cretaceous,,,Gypsum,,,Compiling Grp of the Regional Stratagraphic Chart of Auhui(1978)
E,27,E4639,29,N,117.0,E,Asia,South China,Poyang,Lower,Cretaceous,,,Gypsum,Zhoujiadian,,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980)
E,28,E4640,29.5,N,117.0,E,Asia,South China,Jingdezhen,Lower,Cretaceous,,,Gypsum,,,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980)
E,29,E4641,25.5,N,116.0,E,Asia,South China,Huichang,Lower,Cretaceous,,,Halite,Ganzhou,rock salt and skeletal glaubers salt crystals,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980)
E,30,E4642,28,N,118.0,E,Asia,South China,Chongan,Lower,Cretaceous,,,Gypsum,Shaxian,also glaubers salt,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980)
E,31,E4642.1,32.4,N,119.9,E,Asia,South China,Taizhou,Lower,Cretaceous,,,Gypsum,Gecun,,Yao-Bo-ping et al.(2000)
E,32,E4643,42,N,73.0,E,Asia,C.I.S.(fmr USSR),Soviet Cental Asia,Lower,Cretaceous,,,Evaporite,,,Sedletskiy and Dervyagin(1971) ,see also Sedletskii(1969)
E,33,E4644,43,N,45.0,E,Asia,C.I.S.(fmr USSR),Northern Caucasus,Lower,Cretaceous,,,Evaporite,,celestite deposits that are of evaporitic orgin,Baikov et al.(1978),
E,34,E4645,11.25,N,78.0,E,Asia,India,Cauvery Basin,Lower,Cretaceous,,,Gypsum,Uttatur Group,,"Veevers and Tewari(1995, Fig. 6)","see also Ranjit et al., (1996)"
E,35,E4646,36,N,52.0,E,Asia,Iran,central Alborz,Lower,Cretaceous,,,Evaporite,Chalus,,Sussli(1976),"see also Allenbach(1966); see also Steiger(1996), Gips-""Melaphyr"" Formation"
E,36,E4646.1,37,N,58.0,E,Asia,Iran,Kopeh-Dagh region of th Alborz,Lower,Cretaceous,Necomian,,Evaporite,,,Immel et al.(1997),
E,37,E4646.2,33,N,54.0,E,Asia,Iran,,Lower,Cretaceous,Necomian,,Evaporite,Nogreh,,Perfiliev et al.(1984),
E,38,E4647,38.5,N,124.0,E,Asia,Korea,offshore,Lower,Cretaceous,,,Evaporite,Red,infered presence of evaporite,Massoud et al.(1991),
E,39,E4647.1,35.2,N,129.0,E,Asia,Korea,,Lower,Cretaceous,,,Evaporite,Yucheon Group,evaporite molds filled with sediment,Park and Kim(1998),
E,40,E4648,43,N,95.0,E,Asia,Mongolia,"(1)western ,southern Mongolia(2)w,s Mongolia ",Lower,Cretaceous,"(1)Neco,(2)Apt-Albian",,Evaporite,,(1)lacustrine(2)lacustrine,"Adamenko and Davdova(1982 PL 3,(PL. 4))",
E,41,E4649,44,N,103.0,E,,,,,,,,,,,,
E,42,E4649.1,43,N,102.0,E,Asia,Mongolia,,Lower,Cretaceous,Aptian-Albian,,Evaporite,Dushuul,,Khand et al.(2000),
E,43,E4649.2,33.5,N,36.3,E,Asia,Syria,Damascus region,Lower,Cretaceous,up through Albian,,Evaporite,,,"Wolfart(1966, Tab.3)",
E,44,E4650,17,N,103.0,E,Asia,Thailand,northeastern Thailand ,Lower,Cretaceous,,,Evaporite,,,"Hite(1973; see also Hite and Japakasetr,1979)",
E,45,E4650.1,19,N,100.0,E,Asia,Thailand,northeastern Thailand ,Lower,Cretaceous,,L. Jurassic,Evaporite,Sao Khua,,Hite(1973)Buffetaut and Sutehorn(1999),which Racey et al.(1994 Date as L. Jurassic but Buffetaut and Sutehorn(1999)now conclude is L. Cret. 
E,46,E4651,-25,S,140.0,E,Australia,Queensland,Eromanga Basin,Lower,Cretaceous,,,Evaporite,Rolling Downs Group,check Wells since coal is all around,"Wells(1980, p. 91)",
E,47,E4652,43,N,1.0,E,Europe,France,Aquitaine,Lower,Cretaceous,,,Evaporite,Barremian Group,,Cabrit(1971),
E,48,E4653,52,N,9.0,E,Europe,Germany,"northwestern Germany, Lower Saxony Basin",Lower,Cretaceous,,,Evaporite,Barremian Group,,"Ziegler(1988,PL. 38)","see also Elstner, mutterlose,1996 for a Berriasian coal frm a borehole nr German-Dutch boundary"
E,49,E4654,49,N,9.0,E,Europe,Germany,"southwestern Germany, Molasse Basin",Lower,Cretaceous,,,Evaporite,Barremian Group,,"Ziegler(1988,PL. 38)",
E,50,E4655,47,N,28.0,E,Europe,Rumania,Moldavian and Scythian Platforms,Lower,Cretaceous,,,Evaporite,"Barremian,Valanginian Groups",,Grigorescu(1992),
E,51,E4655.1,44,N,28.0,E,,,,,,,,,,,,
E,52,E4656,43,N,-5.0,W,Europe,Spain,Cantabria,Lower,Cretaceous,,,Evaporite,Berriasian Group,,"Ziegler(1988,PL. 27)",
E,53,E4657,42,N,-3.5,W,Europe,Spain,western Cameros Basin,Lower,Cretaceous,,,Evaporite,Berriasian Rupelo Group,,Platt(1994),
E,54,E4657.2,36.75,N,-4.5,W,,,,,,,,,,,,
E,55,E4657.1,51,N,-78.0,,U. K.,England,northwestern England ,Lower,Cretaceous,middle Purbeck,end of L. Jurassic age,Evaporite,,,Allen(1998),
E,56,E4658,25,N,-78.0,W,North America,Bahamas,Andros Island,Lower,Cretaceous,,,Anhydrite,,borehole,Spencer(1967),see also Lidz(1973)
E,57,E4659,17,N,-88.5,W,North America,Belize,,Lower,Cretaceous,Aptian-Albian,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,58,E4660,22,N,-79.0,W,North America,Cuba,,Lower,Cretaceous,,,Evaporite,,,"Meyerhoff, Hatten(1968)","see also Claypool et al.(1980, Appendix)"
E,59,E4661,15,N,-91.0,W,North America,Guatemala,,Lower,Cretaceous,"Apt- Alb, (Cenomanian?)",,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,60,E4662,15.5,N,-91.5,W,North America,Guatemala,Huehuetenango region,Lower,Cretaceous,,,Evaporite,Ixcoy Limestone,evaporite solution breccias,"Blount,Moore(1969)",
E,61,E4663,16,N,-94.0,W,North America,Chiapas,western Chiapas,Lower,Cretaceous,,U. Jurassic,Evaporite,,,Blair(1988),
E,62,E4667,29,N,-106.0,W,North America,Chihuahua,,Lower,Cretaceous,Aptian,,Anhydrite,Cuchillo,,Maldonaldo(1991),
E,63,E4665.1,27,N,-102.0,W,North America,Coahila,,Lower,Cretaceous,,,Evaporite,,,Salas(1968a),
E,64,E4664,16,N,-100.0,W,North America,Nuevo Leon,,Lower,Cretaceous,,,Evaporite,,,Salas(1968a),
E,65,E4665,23,N,-98.0,W,North America,Tamaulipas,,Lower,Cretaceous,,,Evaporite,,,Salas(1968a),see also Wilson(1990)
E,66,E4668,22,N,-99.0,W,North America,Tamaulipas,,Lower,Cretaceous,,,Evaporite,Guaxcama,,"Minero(1983,1987)",
E,67,E4666,2,N,-90.0,W,North America,Yucatan Peninsula,,Lower,Cretaceous,Aptian-Albian,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,68,E4669,31,N,-80.0,W,North America,United States,East Coast offshore,Lower,Cretaceous,Valanginian-Albian,,Evaporite,,,Rhodehamel(1979) and Poag and Hall(1979),Poag(1991) revises this to Berriasian-Valanginian
E,69,E4669.1,30.5,N,-80.5,W,North America,United States,East Coast offshore,Lower,Cretaceous,,,Gypsum,,from the COST GE-1 Well,Scholle(1979),
E,70,E4670,32,N,-86.0,W,North America,United States,Alabama,Lower,Cretaceous,,,Anhydrite,Ferry Lake Anhydrite,,Johnson et al.(1989),
E,71,E4670.1,37,N,-109.0,W,North America,United States,"Colorado, Four Corners region",Upper,Jurassic,,,Evaporite,Morrison(Bushy Mountian Member),evaporitic lakesbeds,"Turner,Fishman(1991)",Mateer et al.(1992) places this member as high(check age) I.e. coal nearby Valanginian as well in the later Jurassic
E,72,E4671,27,N,-82.0,W,North America,United States,"Florida, southern Florida",Lower,Cretaceous,,,Evaporite,"Lake Trafford, Sunniland Limestone",,Halley(1985),
E,73,E4673,31,N,-90.0,W,North America,United States,Mississippi,Lower,Cretaceous,,,Anhydrite, Ferry Lake Anhydrite ,,Johnson et al.(1989),
E,74,E4674,29,N,-98.0,W,North America,United States,"Texas, south Texas",Lower,Cretaceous,,,Evaporite,,,"Sheu,Burkhart(1982)",
E,75,E4675,30,N,-95.0,W,North America,United States,"Texas, east Texas",Lower,Cretaceous,,,Anhydrite,Ferry Lake Anhydrite,,"Loucks,Longman(1982)",
E,76,E4676,5,N,-103.5,W,North America,United States,Texas,Lower,Cretaceous,,,Evaporite,Bissett,trona,"Wilcox,Rohr(1996)","see also Wilcox(1989, pp. 52-55)"
E,77,E4677,-38,S,-70.0,W,South America,Argentina,Neuquen Province,Lower,Cretaceous,"Tithonian, Berremian",U. Jurassic,Evaporite,,,"Benavides(1968, Fig. 6, pp. 268-270)",
E,78,E4678,-28,S,-70.0,W,South America,Argentina,southeast Mendoza and Neuquen Province,Lower,Cretaceous,Berriasian-Aptian,,Gypsum,Huitrin,,Riccardi(1988),
E,79,E4678.2,-32,S,-65.0,W,South America,Argentina,Sierra de Cordoba,Lower,Cretaceous,,,Evaporite,,,Schmidt et al.(1995),
E,80,E4678.4,-30.1,S,-67.5,W,,,,,,,,,,,,
E,81,E4678.5,-33,S,-66.0,W,,,,,,,,,,,,
E,82,E4678.3,-47.5,S,-72.0,W,South America,Argentina,Patagonia,Lower,Cretaceous,Hauterivian-Barremian,,Evaporite,,,"Ottone,Aguirre-Urreta(2000)",
E,83,E4678.6,-35,S,-64.0,W,,,,,,,,,,,,
E,84,E4679,-10,S,-37.0,W,South America,Brazil,off the  coast from Sergipe ,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)","Alagoas Evaporite, Liro,Dawson,2000"
E,85,E4680,-23,S,-42.0,W,South America,Brazil,south to the Campos Basin,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)",
E,86,E4681,-25,S,-45.0,W,South America,Brazil,Sao Paulo Plateau,Lower,Cretaceous,Aptian,,Evaporite,,,"Rona(1982, Table 1)",
E,87,E4683,-7,S,-40.0,W,South America,Brazil,,Lower,Cretaceous,Aptian-Albian,,Evaporite,Santana,lacustrine evaporite,Grimaldi(1990),"see also Martill(1993), Crato and Ipubi formations"
E,88,E4683.1,-5,S,-45.0,W,South America,Brazil,,Lower,Cretaceous,,,Evaporite,,lacustrine evaporite,"Rossetti,Goes(2000)",
E,89,E4683.2,-31,S,-50.0,W,South America,Brazil,Pelotas Basin,Lower,Cretaceous,Aptian,,Evaporite,,,Coward et al.(1999),"Dias et al., (1994) indicate that the Pelotas Basin evaporite is mostly Neoaptian, Alagoas, which includes vaery early Albian"
E,90,E4683.14,-14,S,-38.0,W,,,,,,,,,,,,
E,91,E4683.3,-18,S,-46.0,W,South America,Brazil,,Lower,Cretaceous,,L. Jurassic,Sandstone,Botucatu,eolian sandstone,Scherer(2000),
E,92,E4683.4,-32,S,-58.0,W,South America,Brazil,,Lower,Cretaceous,,L. Jurassic,Sandstone,Botucatu,eolian sandstone,Scherer(2000),
E,93,E4683.5,-22,S,-40.0,W,South America,Brazil,Campos Basin,Lower,Cretaceous,,,Evaporite,Lagoa Feia(Retiro Member),,Rangel et al.(1994),
E,94,E4683.6,-2,S,-46.0,W,South America,Brazil,Sao Luis Basin,Lower,Cretaceous,Neoaptian,,Anhydrite,Codo,anhydrite beds,Lima et al.(1994),
E,95,E4683.7,-24,S,-45.0,W,South America,Brazil,Santos Basin,Lower,Cretaceous,Neoaptian,,Evaporite,Ariri,,"Pereira,Feijo(1994)",
E,96,E4683.8,-4,S,-44.0,W,South America,Brazil,Parnaiba Basin,Lower,Cretaceous,Neoaptian,,Anhydrite,Codo,,"Goes,Feijo(1994)",
E,97,E4683.9,-13,S,-39.0,W,South America,Brazil,Camamu and Almada Basins,Lower,Cretaceous,Aptian,,Evaporite,Taipus-Mirim,,Netto et al.(1994),
E,98,E4683.10,-16,S,-39.0,W,South America,Brazil,Cumuruxatiba and Jequitinhonha Basins,Lower,Cretaceous,Aptian,,Evaporite,Mariricu(Itaunas Member),,Santos et al.(1994),
E,99,E4683.11,-18,S,-40.0,W,South America,Brazil,Espirito Santo-Mucuri Basins,Lower,Cretaceous,Aptian,,Evaporite,Mariricu(Itaunas Member),,Vieira et al.(1994),
E,100,E4683.12,-28,S,-47.0,W,South America,Brazil,Pelotas Basin,Lower,Cretaceous,Neoaptian,,Evaporite,Ariri,,Dias et al.(1994),
E,101,E4683.13,-10,S,-37.0,W,South America,Brazil,Sergipe and Alagoas  Basins,Lower,Cretaceous,Aptian,,Evaporite,"Muribecca(Ibura Member),Maceio(Paripueira Member)",,Feijo(1994),
E,102,E4684,-27,S,-70.0,W,South America,Chile,Atacama region of northern Chile,Lower,Cretaceous,,U. Jurassic,Evaporite,,,Bell(1989),
E,103,E4685,-23,S,-70.0,W,South America,Chile,Antofagasta region,Lower,Cretaceous,,,Evaporite,"Huaterivian,Barremian Pular,Colo",,"Benavides(1968, Fig. 6, pp. 268-270)",
E,104,E4686,-35,S,-71.0,W,South America,Chile,,Lower,Cretaceous,"""Neocomian""-Aptain or ?",,Evaporite,Albian Colimapu,,Riccardi(1988),
E,105,E4688,-27.5,S,-6.5,W,South America,Chile,,Lower,Cretaceous,Neocomian,,Evaporite,,,"Bell,Padian(1995)",
E,106,E4689,4,N,-74.0,W,South America,Columbia,Bogota region,Lower,Cretaceous,Berr-Valang; Berr-Apt,,Evaporite,,,McLaughlin(1972),
E,107,E4690,5.5,N,-73.0,W,South America,Columbia,Tunja region,Lower,Cretaceous,Hauterivian,,Gypsum,,,Serna(1968),
E,108,E4691,-0.5,S,-77.0,W,South America,Ecuador,,Lower,Cretaceous,,U. Jurassic,Evaporite,Chapiza,,Canfield et al.(1982),
E,109,E4692,3,N,-60.0,W,South America,Guyana,Takutu Graben,Lower,Cretaceous,Neocomian,,Evaporite,Takutu,,"Gibbs,Barron(1993)",see van der Hammen and Burger(1996)
E,110,E4693,-15,S,-72.0,W,South America,Peru,southern Peru,Lower,Cretaceous,Valanginian,,Limestone,Santa Limestone,,"Benavides(1968, Fig. 6, pp. 268-270)",
E,111,E4694,10.5,N,-61.3,W,South America,Trinidad,,Lower,Cretaceous,,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,112,E4695,10,N,-69.0,W,South America,Venezuela,"Sierra de Aroa,Yaracuy Prov.,Macuro,Sucre Prov.",Lower,Cretaceous,,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,113,E4695.1,10,N,-64.0,W,,,,,,,,,,,,
E,114,E4696,9,N,-70.5,W,South America,Venezuela,,Lower,Cretaceous,,,Evaporite,Rio Negro,,Rodriguez(1989),
E,115,CA4697,10,N,15.0,E,Africa,Cameroon,Koum Basin,Lower,Cretaceous,probable Aptian,,Calcretes,,,Congleton et al.(1992),
CA,116,CA4698,17,N,8.0,E,Africa,Niger,Agadez region,Lower,Cretaceous,,,Calcretes,Tiouaren(Irhazer Group),,"Moody,Sutcliffe(1991)",see also Moody(1997)
CA,117,CA4699,-15,S,32.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,118,CA4700,-22,S,31.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,119,CA4701,-24,S,31.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,120,CA4701.1,36,N,128.3,E,Asia,Korea,southeastern Korea,Lower,Cretaceous,Hauterivian-Barremian,,Calcretes,Sindong Group,,Rhee et al.(1998),
CA,121,CA4701.2,36,N,128.5,E,Asia,Korea,,Lower,Cretaceous,,,Calcretes,Hasandong,,Lee(1999),see also Paik(2000)
CA,122,CA4701.3,34,N,131.0,E,Asia,Japan,"northernmost Kyushu, westernmost Honshu",Lower,Cretaceous,Aptian-Albian,,Calcretes,Shiohama,,"Lee,Hisada(1999)",
CA,123,CA4702,17,N,101.0,E,Asia,Thailand,,Lower,Cretaceous,,,Calcretes,Phu Kradung,,"Bristow et al.(1994; oral comm. Bristow, 1994)","see also Racey et al. For discussion of age; Racey et al., 1996 indicate Berriasian-Barremian for the Phu Kradung"
CA,124,CA4703,43,N,-4.0,W,Europe,Spain,northern Spain,Lower,Cretaceous,,,Calcretes,Rupelo,,"Platt(1989;1994,from the Rupelo formation)",
CA,125,CA4704,42,N,-3.3,W,Europe,Spain,Cameros Basin,Lower,Cretaceous,Kimmeridgian-Berriasian,U. Jurassic,Calcretes,,,Wright et al.(1995),
CA,126,CA4704.1,51,N,0.0,,U. K.,England,southeastern England,Lower,Cretaceous,middle Purbeck,,Calcretes,,,Allen(1998),
CA,127,CA4704.2,49.75,N,-114.5,W,North America,Canada,Alberta & British Columbia,Lower,Cretaceous,Berriasian,,Calcretes,,,"Leckie,Cheel(1997)",
CA,128,CA4705,15.5,N,-91.5,W,North America,Guatemala,Huehuetenango region,Lower,Cretaceous,,,Calcretes,Ixcoy Limestone,,"Blount,Moore(1969)",
CA,129,CA4706,16,N,-91.5,W,North America,Mexico,"Chiapas, western Chiapas",Lower,Cretaceous,,U. Jurassic,Calcretes,,,Blair(1988),
CA,130,CA4706.1,32,N,-110.0,W,North America,United States,"Arizona, Bisbee region",Lower,Cretaceous,Aptian,,Calcretes,Glance,,Ekart et al.(1999),
CA,131,CA4707,46,N,-112.0,W,North America,United States,"Montana, southwestern Montana",Lower,Cretaceous,Aptian,,Calcretes,Kootenai,,DeCelles(1986),
CA,132,CA4708,32,N,-108.0,W,North America,United States,"New Mexico, southwestern New Mexico",Lower,Cretaceous,Aptian,,Calcretes,Hell-to-Finish,with kaolinite-rich beds above,Mack(1992),"see also Mack et al.,1986, Aptian Hell-to-Finish Formation"
