LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E6382,,30,N,-5,W,Africa,,,,Upper,Paleogene,Oligocene,,Evaporites,,,,
E,2,E6383,,33,N,-5,W,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
E,3,E6384,,-21,S,35,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
E,4,E6385,,8,N,50,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
E,5,E6386,,10.5,N,45,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
E,6,E6387,,-22,S,35,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
E,7,E6388,,41,N,80,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,8,E6389,,37.5,N,89,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,9,E6390,,43,N,89,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,10,E6391,,43,N,88,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,11,E6392,,36.5,N,102,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,12,E6393,,39,N,82.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,13,E6394,,37,N,117,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,14,E6395,,32,N,112,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,15,E6396,,41.5,N,112,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,16,E6397,,39,N,106,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,17,E6398,,40,N,107,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,18,E6399,,35.5,N,115,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,19,E6400,,38.5,N,117,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,20,E6401,,39,N,117.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,21,E6402,,36,N,117,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,22,E6403,,35,N,116.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,23,E6404,,37,N,106,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,24,E6405,,30.4,N,112.8,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,25,E6405.1,,36.6,N,101.8,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,26,E6405.2,,36.3,N,102.8,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,27,E6406,,32.5,N,113.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,28,E6407,,24,N,107,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,29,E6407.1,,31.7,N,119.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,30,E6408,,40,N,65,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,31,E6409,,36,N,66,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,32,E6410,,37,N,53,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,33,E6410.1,,33.5,N,51.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,34,E6410.2,,31.5,N,49.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,35,E6411,,34,N,55,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,36,E6411.1,,31,N,50,E,Asa,,,,Upper,Paleogene,Oligocene,,,,,,
E,37,E6412,,39,N,26,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,38,E6413,,37,N,34,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,39,E6414,,39,N,44,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,40,E6415,,40,N,37,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,41,E6415.1,,38,N,43,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,42,E6416,,39,N,29,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
E,43,E6417,,-22,S,152,E,Australia,,,,Upper,Paleogene,Oligocene,,,,,,
E,44,E6418,,44.5,N,40,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,45,E6419,,48,N,7,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,46,E6420,,44,N,6,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,47,E6421,,46,N,3,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,48,E6422,,46,N,5,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,49,E6423,,45,N,5,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,50,E6424,,45,N,5,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,51,E6425,,43,N,3,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,52,E6426,,48,N,8,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,53,E6427,,49,N,8,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,54,E6427.1,,52.5,N,14,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,55,E6428,,42,N,-2,W,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,56,E6429,,41,N,0,,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,57,E6430,,46,N,7,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
E,58,E6431,,22,N,-79,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,59,E6432,,34,N,-114,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,60,E6433,,32,N,-110,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,61,E6434,,44,N,-103,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,62,E6435,,39.5,N,-112,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,63,E6436,,42,N,-106,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
E,64,E6436.1,,-39,S,-59,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
E,65,E6437,,-23,S,-69,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
E,66,E6438,,-22,S,-68,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
E,67,E6439,,-1,S,-77,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
E,68,E6439.1,,10,N,-69,W,South America,,,,Upper,Paleogene,Oligocene,,Evaporites,,,,
CA,69,CA6382.1,,28,N,3,E,Africa,,,,Upper,Paleogene,Oligocene,,Calcretes,,,,
CA,70,CA6440,,10.5,N,45,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
CA,71,CA6440.1,,46,N,64,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
CA,72,CA6440.2,,47,N,82.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
CA,73,CA6441,,44,N,6,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,74,CA6442,,49,N,2,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,75,CA6443,,47,N,-1,W,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,76,CA6444,,45.5,N,3.6,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,77,CA6445,,43.5,N,1.5,E,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,78,CA6445.1,,42,N,-5.5,W,Europe,,,,Upper,Paleogene,Oligocene,,,,,,
CA,79,CA6446,,43,N,-103,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
CA,80,CA6446.1,,45,N,-120,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
CA,81,CA6447,,43,N,-105,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
CA,82,CA6447.1,,-28,S,-59,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
CA,83,CA6448,,-26,S,-49,W,South America,,,,Upper,Paleogene,Oligocene,,,,,,
T,84,T6449,,-62,S,-58,W,Anarctica,,,,Upper,Paleogene,Oligocene,,Tillites,,,,
T,85,T6450,,-77,S,-179,W,Anarctica,,,,Upper,Paleogene,Oligocene,,,,,,
T,86,T6451,,-67,S,75,E,Anarctica,,,,Upper,Paleogene,Oligocene,,,,,,
T,87,T6451.1,,-78,S,164,E,Anarctica,,,,Upper,Paleogene,Oligocene,,,,,,
D,88,D6452,,37,N,158,W,Asia,,,,Upper,Paleogene,Oligocene,,Dropstones,,,,
G,89,G6452.1,,37,N,141,E,Asia,,,,Upper,Paleogene,Oligocene,,Glendonites,,,,
G,90,G6453,,51,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
G,91,G6454,,38,N,-107,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
G,92,G6455,,48,N,-124,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
G,93,G6456,,47,N,-123,W,North America,,,,Upper,Paleogene,Oligocene,,,,,,
C,94,C6456.1,,12,N,37,E,Africa,,,,Upper,Paleogene,Oligocene,,Coals,,,,
C,95,C6458,,6,N,7,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
C,96,C6459,,10,N,9,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
C,97,C6460,,10.5,N,45,E,Africa,,,,Upper,Paleogene,Oligocene,,,,,,
C,98,C6461,,23,N,90,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,99,C6462,,49,N,122,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,100,C6462.1,,23,N,121,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,101,C6463,,23,N,99,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,102,C6464,,24,N,107,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,103,C6465,,37,N,118,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,104,C6466,,22.5,N,113.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,105,C6467,,19,N,112,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,106,C6467.1,,24.5,N,121,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,107,C6467.2,,18,N,109,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,108,C6468,,65,N,174,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,109,C6469,,51,N,65.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,110,C6470,,52,N,128,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,111,C6471,,64,N,169,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,112,C6472,,64,N,180,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,113,C6473,,65,N,178,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,114,C6474,,51,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,115,C6474.1,,43,N,133,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,116,C6474.2,,49,N,60,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,117,C6474.3,,48,N,84,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,118,C6474.4,,60,N,60,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,119,C6474.5,,60,N,86,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,120,C6474.6,,47,N,138,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,121,C6474.7,,52,N,130,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,122,C6475,,26,N,92,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,123,C6476,,28,N,96,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,124,C6475.1,,27.3,N,95.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,125,C6480,,27,N,95.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,126,C6477,,22,N,72,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,127,C6478,,10,N,77,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,128,C6479,,27,N,94,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,129,C6480.1,,25.5,N,97.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,130,C6480.2,,22,N,88,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,131,C6480.3,,27,N,96,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,132,C6482,,-5.5,S,108.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,133,C6483,,-6.5,S,107.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,134,C6481,,3,N,97.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,135,C6484,,-2.5,S,104,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,136,C6484.3,,3,N,99,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,137,C6505.3,,3,N,101.2,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,138,C6505.4,,5,N,100,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,139,C6485,,32,N,131,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,140,C6486,,33,N,133,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,141,C6487,,43,N,143,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,142,C6488,,40,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,143,C6489,,40,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,144,C6490,,37,N,141,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,145,C6491,,43,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,146,C6492,,43,N,144,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,147,C6493,,43.5,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,148,C6494,,42.5,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,149,C6495,,43,N,144,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,150,C6496,,40,N,142,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,151,C6497,,33,N,129.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,152,C6498,,37,N,141,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,153,C6499,,33.5,N,129.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,154,C6500,,34,N,130.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,155,C6501,,34,N,130.5,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,156,C6502,,33.75,N,130.25,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,157,C6503,,33.5,N,130.75,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,158,C6504,,41,N,129,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,159,C6505,,42.5,N,130,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,160,C6505.1,,41,N,128,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,161,C6505.2,,3,N,113,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,162,C6506,,24,N,95,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,163,C6506.1,,10.5,N,123.9,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,164,C6507,,17,N,100,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,165,C6508,,9,N,102,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,166,C6509,,18,N,99,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,167,C6510,,11,N,101,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,168,C6511,,41,N,28,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,169,C6512,,41,N,29,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,170,C6513,,39,N,34,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
C,171,C6514,,39,N,36,E,Asia,,,,Upper,Paleogene,Oligocene,,,,,,
